date,time,platform,song,artist,album,concert/festival,spotify_id,spotify_preview_url
9/4/18,22:00,youtube,tootimetootimetootime,the 1975,a brief inquiry into online relationships,n/a,spotify:track:1avsdAHEznOhz5KFF04zOS,https://p.scdn.co/mp3-preview/7bf6160ed03aef0689e81243ac7b9c98f7a8c154?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,8:30 ,youtube,collide,catfish and the bottlemen,n/a,n/a,,
9/5/18,10:00 ,youtube ,broken army,catfish and the bottlemen,n/a,n/a,,
9/5/18,11:30 ,youtube,love it if we made it,the 1975,a brief inquiry into online relationships ,n/a,spotify:track:0ORgAzmFh8N97SseJvmqgC,https://p.scdn.co/mp3-preview/ce5f20b0ea28da5862561e96bbfd5ee432c45aa5?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,13:00 ,spotify,systematic ,king no-one,systematic single ,n/a,spotify:track:3GLXHgZMy5TokhfyK6f3ND,https://p.scdn.co/mp3-preview/811b256264b2c46c420a569f2514472ed962a47f?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,14:30,youtube,tootimetootimetootime,the 1975,a brief inquiry into online relationships,n/a,spotify:track:1avsdAHEznOhz5KFF04zOS,https://p.scdn.co/mp3-preview/7bf6160ed03aef0689e81243ac7b9c98f7a8c154?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,16:00,youtube,if you wanna,the vaccines,what did you expect from the vaccines?,"live at reading festival, reading, 8/26/18",spotify:track:0KNVDEeZWXZPIYKqJeRRpX,https://p.scdn.co/mp3-preview/c9c6cf8200bb1c6daa7dd4697f26d0ab87888f3b?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,17:30,youtube,four out of five ,arctic monkeys,tranquility base hotel and casino ,"live at bbc's maida vale, london, 6/8/18",spotify:track:3nhzPKCm2yqGmgEhdAg19u,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,19:00,youtube,sidewinder,catfish and the bottlemen,n/a,"early tour video, may 2014",spotify:track:2en1nX6nl7OnpGMx7Hh5Un,https://p.scdn.co/mp3-preview/9c98f91f45bd3a4cd1c08d6123b5a94a7ef056bb?cid=774b29d4f13844c495f206cafdad9c86
9/5/18,20:30,n/a,n/a,n/a,n/a,n/a,,
9/5/18,22:00,spotify,tesco disco,the kooks,let’s go sunshine,n/a,spotify:track:6NWhfS1MxN5yTlDDH0ooRX,https://p.scdn.co/mp3-preview/fe7e05b7151405cec9f3cfb39dd73bd1992ca486?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,8:30 ,spotify,just a ride,peace,kindness is the new rock n roll,n/a,spotify:track:2rejoqXDLyPQqv7Zfqx2Vr,https://p.scdn.co/mp3-preview/edf616c2cda3a65a07a4b344fa41deee5fcb9996?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,10:00 ,spotify,emily,catfish and the bottlemen,the ride,n/a,spotify:track:53Wg2UOwBczmqUHWotWbkm,https://p.scdn.co/mp3-preview/556beea0edcfddd3c69c9ebdc68e8e5812ffba2d?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,11:30 ,youtube,all the time,the kooks,let's go sunshine,n/a,spotify:track:6posofjYcYrpdOwtO9mmtc,https://p.scdn.co/mp3-preview/ee9a480d78265e32941d550538a6168f7a6f1d43?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,13:00 ,youtube,reptilia,the strokes,room on fire,n/a,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://p.scdn.co/mp3-preview/8894d33d94ef1135ce87e0ac8058a6425e91e4c9?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,14:30,youtube,mardy bum,arctic monkeys,"whatever people say i am, that's what i'm not",n/a,spotify:track:3geFzA6VBSNZUTmV3bCry6,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,16:00,youtube,moving to new york,the wombats,"a guide to love, loss, and desperation","live at reading festival, reading, 8/25/18",spotify:track:5YHhxbtAAkOiIXqNBfYjZU,https://p.scdn.co/mp3-preview/00897f75c0a83cc51002d3e075ff978c73d26243?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,17:30,youtube,rango,catfish and the bottlemen,the balcony,"live at sxsw, 2015",spotify:track:3BTt3EpTiH0iWbJVTsH8i6,"https://p.scdn.co/mp3-preview/417fd7d8af69fb20c25cfb7a1f606aa7ae22f734?cid=774b29d4f13844c495f206cafdad9c86"""
9/6/18,19:00,spotify,how long will this last?,blossoms,cool like you,n/a,spotify:track:0TeRQdoBuzG0S21QM5tHaX,https://p.scdn.co/mp3-preview/6be525acb0c29578d44045735b1c8b8640fafa9a?cid=774b29d4f13844c495f206cafdad9c86
9/6/18,20:30,n/a,n/a,n/a,n/a,n/a,,
9/6/18,22:00,n/a,n/a,n/a,n/a,n/a,,
9/7/18,8:30,spotify,different,the academic,different single ,n/a,spotify:track:7dES51jQZhXiD0XNHfkY2S,https://p.scdn.co/mp3-preview/071124faaaf1593e53dcce963d12a6a39f6ca9a8?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,10:00 ,youtube,all the time,the kooks,let's go sunshine,n/a,spotify:track:6posofjYcYrpdOwtO9mmtc,https://p.scdn.co/mp3-preview/ee9a480d78265e32941d550538a6168f7a6f1d43?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,11:30 ,youtube,under cover of darkness,the strokes,angles,n/a,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,https://p.scdn.co/mp3-preview/93b2162121b87bfac75dd5f4ac6dcf14fd07abe2?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,13:00 ,youtube,7,catfish and the bottlemen,the ride,"live at t in the park, glasgow, 7/9/16",spotify:track:5ykbOijJEfRhuo2Td1m0Qd,https://p.scdn.co/mp3-preview/b4ee2d2926362ef45c9619943af53df6e44a7fbd?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,14:30,n/a,n/a,n/a,n/a,n/a,,
9/7/18,16:00,youtube,last nite,the strokes,is this it,n/a,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://p.scdn.co/mp3-preview/212eceff7db8be31c0d807128555ad14942e7f05?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,17:30,youtube,love it if we made it,the 1975,a brief inquiry into online relationships ,n/a,spotify:track:0ORgAzmFh8N97SseJvmqgC,https://p.scdn.co/mp3-preview/ce5f20b0ea28da5862561e96bbfd5ee432c45aa5?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,19:00,spotify,flame,sundara karma,youth is only ever fun in retrospect,n/a,spotify:track:1xa5lmjPwKj1LVXpxM7HHW,https://p.scdn.co/mp3-preview/2c46254f33a05226cbaa311312adf7a959453407?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,20:30,spotify,turn,the wombats,beautiful people will ruin your life,n/a,spotify:track:11IJA30efHAJLO3qroPh5L,https://p.scdn.co/mp3-preview/e85b7db61e6c5ecbccebf62a0df129a39c97d8ea?cid=774b29d4f13844c495f206cafdad9c86
9/7/18,22:00,n/a,n/a,n/a,n/a,n/a,,
9/8/17,8:30,n/a,n/a,n/a,n/a,n/a,,
9/8/17,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/8/17,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/8/17,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/8/17,14:30,youtube,all the time,the kooks,let's go sunshine,n/a,spotify:track:6posofjYcYrpdOwtO9mmtc,https://p.scdn.co/mp3-preview/ee9a480d78265e32941d550538a6168f7a6f1d43?cid=774b29d4f13844c495f206cafdad9c86
9/8/17,16:00,youtube,read my mind (acoustic cover),catfish and the bottlemen,triple j like a version,"live on triple j, like a version, 1/22/15",spotify:track:7bMTlhKbtabS9T4R4SjBww,https://p.scdn.co/mp3-preview/5997a7485db38089bdf6d00f8dd9809c0f79b2a9?cid=774b29d4f13844c495f206cafdad9c86
9/8/17,17:30,youtube,king city,swim deep,where the heaven are we,n/a,spotify:track:62I2gpsdePiOFaeGbqsfiM,https://p.scdn.co/mp3-preview/3b332dfa390c8ab860e2e6a12b23d7387e125af0?cid=774b29d4f13844c495f206cafdad9c86
9/8/17,19:00,n/a,n/a,n/a,n/a,n/a,,
